Cod,Player,Hand,Height
105062,Mikhail Kukushkin,1,183
103285,Radek Stepanek,1,185
106071,Bernard Tomic,1,193
104471,Ivan Dodig,1,183
106298,Lucas Pouille,1,185
105676,David Goffin,1,163
106233,Dominic Thiem,1,185
106045,Denis Kudla,1,180
111202,Hyeon Chung,1,0
105777,Grigor Dimitrov,1,188
104678,Viktor Troicki,1,193
104735,Tobias Kamke,1,180
105453,Kei Nishikori,1,178
105683,Milos Raonic,1,196
105227,Marin Cilic,1,198
103819,Roger Federer,1,185
106368,Ramkumar Ramanathan,1,0
104563,Luca Vanni,1,0
105379,Aljaz Bedene,1,181
105357,John Millman,1,183
105572,Austin Krajicek,0,0
106432,Borna Coric,1,0
104180,Gilles Muller,0,193
105341,Thomas Fabbiano,1,0
104586,Lukas Rosol,1,196
104198,Guillermo Garcia Lopez,1,188
105302,Ante Pavic,1,0
126094,Andrey Rublev,1,0
105138,Roberto Bautista Agut,1,183
105332,Benoit Paire,1,196
104527,Stan Wawrinka,1,183
104745,Rafael Nadal,0,185
104898,Robin Haase,1,190
105723,Andrey Kuznetsov,1,185
105575,Ricardas Berankis,1,175
105011,Illya Marchenko,1,185
104559,Teymuraz Gabashvili,1,188
103908,Paul Henri Mathieu,1,185
104871,Jeremy Chardy,1,188
103926,Daniel Munoz de la Nava,0,0
106378,Kyle Edmund,1,0
106000,Damir Dzumhur,1,172
104607,Tomas Berdych,1,196
104919,Leonardo Mayer,1,188
104665,Pablo Andujar,1,180
104269,Fernando Verdasco,0,188
104925,Novak Djokovic,1,188
104259,Philipp Kohlschreiber,1,178
105217,Thiemo De Bakker,1,193
104926,Fabio Fognini,1,178
105023,Sam Querrey,1,198
105385,Donald Young,0,183
105577,Vasek Pospisil,1,193
106058,Jack Sock,1,185
105881,Matthew Barton,1,0
104542,Jo-Wilfried Tsonga,1,188
104545,John Isner,1,206
104731,Kevin Anderson,1,203
103970,David Ferrer,1,175
105902,James Duckworth,1,183
104655,Pablo Cuevas,1,180
105512,Alexander Sarkissian,1,0
105238,Alexandr Dolgopolov,1,180
104312,Andreas Seppi,1,190
103917,Nicolas Mahut,1,190
103990,Tommy Robredo,1,180
105643,Federico Delbonis,0,190
111442,Jordan Thompson,1,0
111460,Quentin Halys,1,0
105952,Renzo Olivo,1,0
105539,Evgeny Donskoy,1,185
104468,Gilles Simon,1,183
117357,Omar Jasika,0,0
105732,Pierre Hugues Herbert,1,188
111511,Noah Rubin,1,0
104978,Daniel Brands,1,196
105477,Marco Trungelliti,1,0
104597,Nicolas Almagro,1,183
105077,Albert Ramos,0,188
105583,Dusan Lajovic,1,180
106401,Nick Kyrgios,1,193
105806,Mirza Basic,1,0
104534,Dudi Sela,1,175
104792,Gael Monfils,1,193
103565,Stephane Robert,1,185
104330,Rajeev Ram,1,193
105065,Tim Smyczek,1,175
103720,Lleyton Hewitt,1,180
105064,Thomaz Bellucci,0,188
105449,Steve Johnson,1,188
103852,Feliciano Lopez,0,188
105550,Guido Pella,0,185
104719,Marcel Granollers,1,190
104620,Simone Bolelli,1,183
105311,Joao Sousa,1,185
105053,Santiago Giraldo,1,188
105032,Sam Groth,1,0
