surface,tourney_date,winner_id,loser_id,score,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1,20160104,105062,104797,6-2 7-5,3,65,762,61,781
1,20160104,103285,105583,6-0 6-3,3,197,252,76,678
1,20160104,106071,103917,6-4 6-3,3,18,1675,71,710
1,20160104,104471,117352,6-3 6-2,3,87,636,813,25
1,20160104,106298,106415,4-6 6-3 7-5,3,78,672,117,495
1,20160104,105676,105064,6-4 6-4,3,16,1880,37,1105
1,20160104,106233,105902,3-6 6-4 6-3,3,20,1600,120,485
1,20160104,106045,105441,4-6 6-3 6-2,3,69,719,129,459
1,20160104,111202,105032,7-6(8) 6-4,3,51,817,60,782
1,20160104,105777,104468,6-3 7-6(10),3,28,1360,15,2145
1,20160104,104678,105449,7-6(3) 6-1,3,22,1487,32,1240
1,20160104,104735,106093,6-2 6-4,3,277,185,231,225
1,20160104,105453,105062,6-3 6-4,3,8,4235,65,762
1,20160104,106071,103285,7-6(6) 4-6 7-6(4),3,18,1675,197,252
1,20160104,105683,104471,6-7(2) 6-1 6-4,3,14,2170,87,636
1,20160104,106298,105676,7-6(5) 4-6 6-3,3,78,672,16,1880
1,20160104,106233,106045,6-3 6-2,3,20,1600,69,719
1,20160104,105227,111202,7-5 7-6(3),3,13,2405,51,817
1,20160104,105777,104678,5-7 7-6(6) 6-2,3,28,1360,22,1487
1,20160104,103819,104735,6-2 6-1,3,3,8265,277,185
1,20160104,106071,105453,6-3 1-6 6-3,3,18,1675,8,4235
1,20160104,105683,106298,6-4 6-4,3,14,2170,78,672
1,20160104,106233,105227,2-6 7-6(4) 6-4,3,20,1600,13,2405
1,20160104,103819,105777,6-4 6-7(4) 6-4,3,3,8265,28,1360
1,20160104,105683,106071,7-6(5) 7-6(5),3,14,2170,18,1675
1,20160104,103819,106233,6-1 6-4,3,3,8265,20,1600
1,20160104,105683,103819,6-4 6-4,3,14,2170,3,8265
1,20160104,106368,104593,6-2 6-0,3,248,209,98,590
1,20160104,104563,105526,6-4 7-6(5),3,106,552,107,547
1,20160104,105379,105577,7-5 7-6(6),3,45,939,39,1075
1,20160104,105357,105539,6-7(5) 6-4 7-6(6),3,92,611,91,615
1,20160104,105572,104330,6-7(0) 6-4 6-4,3,104,559,89,623
1,20160104,106432,104719,7-6(5) 2-6 6-4,3,44,941,84,645
1,20160104,104180,111575,6-7(3) 7-6(4) 6-2,3,38,1105,152,379
1,20160104,105341,106075,1-6 6-3 6-4,3,157,362,259,203
1,20160104,104586,105053,6-3 6-4,3,55,797,70,716
1,20160104,104198,106121,4-6 7-5 6-2,3,27,1430,96,603
1,20160104,105302,104597,3-6 7-5 7-6(1),3,449,90,73,694
1,20160104,126094,104500,6-3 3-6 6-3,3,185,270,177,284
1,20160104,106368,104628,3-6 6-4 6-4,3,248,209,164,321
1,20160104,105379,104563,5-7 6-3 6-4,3,45,939,106,552
1,20160104,105138,105357,6-4 6-1,3,25,1480,92,611
1,20160104,106432,105572,6-2 7-5,3,44,941,104,559
1,20160104,105341,104180,6-4 7-5,3,157,362,38,1105
1,20160104,105332,104586,7-5 7-5,3,19,1633,55,797
1,20160104,104198,105302,7-6(5) 6-1,3,27,1430,449,90
1,20160104,104527,126094,6-3 6-2,3,4,6865,185,270
1,20160104,105379,106368,6-7(5) 6-4 6-3,3,45,939,248,209
1,20160104,106432,105138,3-6 6-4 7-6(1),3,44,941,25,1480
1,20160104,105332,105341,6-4 7-5,3,19,1633,157,362
1,20160104,104527,104198,6-4 6-4,3,4,6865,27,1430
1,20160104,106432,105379,7-6(5) 6-7(5) 6-3,3,44,941,45,939
1,20160104,104527,105332,6-3 6-4,3,4,6865,19,1633
1,20160104,104527,106432,6-3 7-5,3,4,6865,44,941
1,20160104,104745,105807,6-7(5) 6-3 6-1,3,5,5230,67,734
1,20160104,104898,106234,5-7 6-1 7-5,3,66,740,195,254
1,20160104,105723,104947,6-2 6-4,3,79,663,114,520
